id,reportId,language,languageStyle,text,originalSyntheticText,sourceType,category,incidentCategory,severity,route,responsibleUnit,technicalIndicators,personalInformationLabels,incidentClusterId,expectedRedactedText,annotatorNotes,split
SYN-289,SYN-289,English,English,A scheduled software update restarted the laptop normally,A scheduled software update restarted the laptop normally,Image,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-06-07,A scheduled software update restarted the laptop normally,Deterministic synthetic example; human validation required.,train
SYN-151,SYN-151,Nigerian Pidgin,Nigerian Pidgin,Antivirus see malware for payroll after I open attachment wey I no know Reported by user0@example.test on 08030000000.,Antivirus see malware for payroll after I open attachment wey I no know Reported by user0@example.test on 08030000000.,Web form,Malware,Malware,High,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-04-00,Antivirus see malware for payroll after I open attachment wey I no know Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-292,SYN-292,English,English,A scheduled software update restarted the laptop normally,A scheduled software update restarted the laptop normally,Offline submission,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-06-08,A scheduled software update restarted the laptop normally,Deterministic synthetic example; human validation required.,test
SYN-434,SYN-434,English,English,The finance transfer was redirected after a supplier email change Reported by user33@example.test on 08030000033.,The finance transfer was redirected after a supplier email change Reported by user33@example.test on 08030000033.,TXT,Payment fraud,Payment fraud,High,Finance Fraud Response Team,Finance Fraud Response Team,,Email; Nigerian telephone number,CL-09-06,The finance transfer was redirected after a supplier email change Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-375,SYN-375,Nigerian Pidgin,Nigerian Pidgin,Person wey we no know enter library as admin from 192.0.2.25 Reported by user24@example.test on 08030000024.,Person wey we no know enter library as admin from 192.0.2.25 Reported by user24@example.test on 08030000024.,Image,Unauthorised access,Unauthorised access,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.25,Email; Nigerian telephone number,CL-08-04,Person wey we no know enter library as admin from 192.0.2.25 Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-291,SYN-291,Nigerian Pidgin,Nigerian Pidgin,Printer no connect and help desk page no gree open,Printer no connect and help desk page no gree open,TXT,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-06-08,Printer no connect and help desk page no gree open,Deterministic synthetic example; human validation required.,test
SYN-385,SYN-385,English,English,An unknown administrator accessed library from 192.0.2.35,An unknown administrator accessed library from 192.0.2.35,Offline submission,Unauthorised access,Unauthorised access,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.35,None,CL-08-06,An unknown administrator accessed library from 192.0.2.35,Deterministic synthetic example; human validation required.,train
SYN-285,SYN-285,English,English,My printer is offline and the help desk page will not load,My printer is offline and the help desk page will not load,Offline submission,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-06-06,My printer is offline and the help desk page will not load,Deterministic synthetic example; human validation required.,train
SYN-144,SYN-144,English,English,Every document now has a strange extension and the screen says decrypt,Every document now has a strange extension and the screen says decrypt,Email,Ransomware,Ransomware,Critical,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-03-08,Every document now has a strange extension and the screen says decrypt,Deterministic synthetic example; human validation required.,test
SYN-367,SYN-367,Nigerian Pidgin,Nigerian Pidgin,Person wey we no know enter student portal as admin from 192.0.2.17,Person wey we no know enter student portal as admin from 192.0.2.17,Screenshot,Unauthorised access,Unauthorised access,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.17,None,CL-08-03,Person wey we no know enter student portal as admin from 192.0.2.17,Deterministic synthetic example; human validation required.,train
SYN-318,SYN-318,English,English,Confidential records were emailed to the wrong recipient from email,Confidential records were emailed to the wrong recipient from email,Image,Data exposure,Data exposure,High,Privacy and Data Protection Team,Privacy and Data Protection Team,,None,CL-07-03,Confidential records were emailed to the wrong recipient from email,Deterministic synthetic example; human validation required.,train
SYN-057,SYN-057,English,English,I received an OTP I did not request and my student portal shows a new login Reported by user6@example.test on 08030000006.,I received an OTP I did not request and my student portal shows a new login Reported by user6@example.test on 08030000006.,Offline submission,Account takeover,Account takeover,High,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-02-01,I received an OTP I did not request and my student portal shows a new login Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-111,SYN-111,English,English,Every document now has a strange extension and the screen says decrypt,Every document now has a strange extension and the screen says decrypt,Image,Ransomware,Ransomware,Critical,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-03-02,Every document now has a strange extension and the screen says decrypt,Deterministic synthetic example; human validation required.,train
SYN-604,SYN-604,English,English,I need the help desk opening time; no security incident occurred Reported by user3@example.test on 08030000003.,I need the help desk opening time; no security incident occurred Reported by user3@example.test on 08030000003.,Image,Benign or non-security enquiry,Benign or non-security enquiry,Low,Internal ICT/Help Desk,Internal ICT/Help Desk,,Email; Nigerian telephone number,CL-13-00,I need the help desk opening time; no security incident occurred Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-406,SYN-406,English,English,The finance transfer was redirected after a supplier email change,The finance transfer was redirected after a supplier email change,TXT,Payment fraud,Payment fraud,High,Finance Fraud Response Team,Finance Fraud Response Team,,None,CL-09-01,The finance transfer was redirected after a supplier email change,Deterministic synthetic example; human validation required.,train
SYN-294,SYN-294,English,English,My printer is offline and the help desk page will not load,My printer is offline and the help desk page will not load,Email,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-06-08,My printer is offline and the help desk page will not load,Deterministic synthetic example; human validation required.,test
SYN-352,SYN-352,English,English,Audit logs show an unapproved privileged session on student portal,Audit logs show an unapproved privileged session on student portal,Email,Unauthorised access,Unauthorised access,High,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-08-00,Audit logs show an unapproved privileged session on student portal,Deterministic synthetic example; human validation required.,train
SYN-288,SYN-288,English,English,My printer is offline and the help desk page will not load,My printer is offline and the help desk page will not load,Screenshot,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-06-07,My printer is offline and the help desk page will not load,Deterministic synthetic example; human validation required.,train
SYN-421,SYN-421,Nigerian Pidgin,Nigerian Pidgin,Fake invoice change account wey payroll suppose pay,Fake invoice change account wey payroll suppose pay,Offline submission,Payment fraud,Payment fraud,High,Finance Fraud Response Team,Finance Fraud Response Team,,None,CL-09-04,Fake invoice change account wey payroll suppose pay,Deterministic synthetic example; human validation required.,train
SYN-081,SYN-081,English,English,I received an OTP I did not request and my payroll shows a new login Reported by user30@example.test on 08030000030.,I received an OTP I did not request and my payroll shows a new login Reported by user30@example.test on 08030000030.,Screenshot,Account takeover,Account takeover,High,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-02-06,I received an OTP I did not request and my payroll shows a new login Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-181,SYN-181,English,English,Antivirus detected malware on the payroll after an unknown attachment opened Reported by user30@example.test on 08030000030.,Antivirus detected malware on the payroll after an unknown attachment opened Reported by user30@example.test on 08030000030.,Screenshot,Malware,Malware,High,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-04-06,Antivirus detected malware on the payroll after an unknown attachment opened Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-014,SYN-014,English,English,A scholarship message sent staff to https://verify-13.example.test/login and requested login details,A scholarship message sent staff to https://verify-13.example.test/login and requested login details,Offline submission,Phishing,Phishing,High,Internal ICT/Security Team,Internal ICT/Security Team,https://verify-13.example.test/login,None,CL-01-02,A scholarship message sent staff to https://verify-13.example.test/login and requested login details,Deterministic synthetic example; human validation required.,train
SYN-094,SYN-094,English,English,My password changed without my permission and I cannot access the account,My password changed without my permission and I cannot access the account,Email,Account takeover,Account takeover,High,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-02-08,My password changed without my permission and I cannot access the account,Deterministic synthetic example; human validation required.,test
SYN-344,SYN-344,English,English,Confidential records were emailed to the wrong recipient from bursary,Confidential records were emailed to the wrong recipient from bursary,Email,Data exposure,Data exposure,High,Privacy and Data Protection Team,Privacy and Data Protection Team,,None,CL-07-08,Confidential records were emailed to the wrong recipient from bursary,Deterministic synthetic example; human validation required.,test
SYN-402,SYN-402,English,English,The finance transfer was redirected after a supplier email change,The finance transfer was redirected after a supplier email change,Email,Payment fraud,Payment fraud,High,Finance Fraud Response Team,Finance Fraud Response Team,,None,CL-09-00,The finance transfer was redirected after a supplier email change,Deterministic synthetic example; human validation required.,train
SYN-280,SYN-280,English,English,A scheduled software update restarted the laptop normally,A scheduled software update restarted the laptop normally,Email,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-06-05,A scheduled software update restarted the laptop normally,Deterministic synthetic example; human validation required.,train
SYN-209,SYN-209,Nigerian Pidgin,Nigerian Pidgin,Department no fit find flash drive wey carry student record,Department no fit find flash drive wey carry student record,Email,Lost or stolen device,Lost or stolen device,Medium,Management,Management,,None,CL-05-01,Department no fit find flash drive wey carry student record,Deterministic synthetic example; human validation required.,train
SYN-170,SYN-170,English,English,A suspicious program keeps running and redirects the browser,A suspicious program keeps running and redirects the browser,TXT,Malware,Malware,High,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-04-03,A suspicious program keeps running and redirects the browser,Deterministic synthetic example; human validation required.,train
SYN-479,SYN-479,Nigerian Pidgin,Nigerian Pidgin,Plenty traffic from 192.0.2.29 make bursary no dey open,Plenty traffic from 192.0.2.29 make bursary no dey open,Web form,Denial of service,Denial of service,Critical,Network Operations and Security Team,Network Operations and Security Team,192.0.2.29,None,CL-10-05,Plenty traffic from 192.0.2.29 make bursary no dey open,Deterministic synthetic example; human validation required.,train
SYN-233,SYN-233,Nigerian Pidgin,Nigerian Pidgin,Department no fit find flash drive wey carry student record,Department no fit find flash drive wey carry student record,PDF,Lost or stolen device,Lost or stolen device,Medium,Management,Management,,None,CL-05-06,Department no fit find flash drive wey carry student record,Deterministic synthetic example; human validation required.,train
SYN-048,SYN-048,English,English,The sender claims to be ICT and says my account will close unless I sign in,The sender claims to be ICT and says my account will close unless I sign in,TXT,Phishing,Phishing,High,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-01-09,The sender claims to be ICT and says my account will close unless I sign in,Deterministic synthetic example; human validation required.,test
SYN-683,SYN-683,Nigerian Pidgin,Nigerian Pidgin,Something strange happen for email but I no get detail,Something strange happen for email but I no get detail,PDF,Ambiguous report,Ambiguous report,Medium,Triage Review Team,Triage Review Team,,None,CL-14-06,Something strange happen for email but I no get detail,Deterministic synthetic example; human validation required.,train
SYN-119,SYN-119,English,English,Files on the bursary are encrypted and a ransom note demands payment Reported by user18@example.test on 08030000018.,Files on the bursary are encrypted and a ransom note demands payment Reported by user18@example.test on 08030000018.,PDF,Ransomware,Ransomware,Critical,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-03-03,Files on the bursary are encrypted and a ransom note demands payment Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-110,SYN-110,English,English,Files on the library are encrypted and a ransom note demands payment Reported by user9@example.test on 08030000009.,Files on the library are encrypted and a ransom note demands payment Reported by user9@example.test on 08030000009.,Screenshot,Ransomware,Ransomware,Critical,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-03-01,Files on the library are encrypted and a ransom note demands payment Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-049,SYN-049,Nigerian Pidgin,Nigerian Pidgin,Dem send me link https://verify-48.example.test/login say make I verify my bursary password Reported by user48@example.test on 08030000048.,Dem send me link https://verify-48.example.test/login say make I verify my bursary password Reported by user48@example.test on 08030000048.,Offline submission,Phishing,Phishing,High,Internal ICT/Security Team,Internal ICT/Security Team,https://verify-48.example.test/login,Email; Nigerian telephone number,CL-01-09,Dem send me link https://verify-48.example.test/login say make I verify my bursary password Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,test
SYN-451,SYN-451,Nigerian Pidgin,Nigerian Pidgin,Plenty traffic from 192.0.2.1 make payroll no dey open Reported by user0@example.test on 08030000000.,Plenty traffic from 192.0.2.1 make payroll no dey open Reported by user0@example.test on 08030000000.,Web form,Denial of service,Denial of service,Critical,Network Operations and Security Team,Network Operations and Security Team,192.0.2.1,Email; Nigerian telephone number,CL-10-00,Plenty traffic from 192.0.2.1 make payroll no dey open Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-141,SYN-141,Nigerian Pidgin,Nigerian Pidgin,Document no dey open again and screen say we need decrypt key,Document no dey open again and screen say we need decrypt key,TXT,Ransomware,Ransomware,Critical,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-03-08,Document no dey open again and screen say we need decrypt key,Deterministic synthetic example; human validation required.,test
SYN-624,SYN-624,English,English,I need the help desk opening time; no security incident occurred,I need the help desk opening time; no security incident occurred,Screenshot,Benign or non-security enquiry,Benign or non-security enquiry,Low,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-13-04,I need the help desk opening time; no security incident occurred,Deterministic synthetic example; human validation required.,train
SYN-269,SYN-269,English,English,The bursary portal is slow but there is no unusual login or password request Reported by user18@example.test on 08030000018.,The bursary portal is slow but there is no unusual login or password request Reported by user18@example.test on 08030000018.,PDF,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,Email; Nigerian telephone number,CL-06-03,The bursary portal is slow but there is no unusual login or password request Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-639,SYN-639,English,English,Please explain how to update my contact details on bursary,Please explain how to update my contact details on bursary,Image,Benign or non-security enquiry,Benign or non-security enquiry,Low,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-13-07,Please explain how to update my contact details on bursary,Deterministic synthetic example; human validation required.,train
SYN-270,SYN-270,English,English,My printer is offline and the help desk page will not load,My printer is offline and the help desk page will not load,TXT,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-06-03,My printer is offline and the help desk page will not load,Deterministic synthetic example; human validation required.,train
SYN-062,SYN-062,English,English,There was an unusual sign-in from 192.0.2.12 followed by repeated OTP messages,There was an unusual sign-in from 192.0.2.12 followed by repeated OTP messages,PDF,Account takeover,Account takeover,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.12,None,CL-02-02,There was an unusual sign-in from 192.0.2.12 followed by repeated OTP messages,Deterministic synthetic example; human validation required.,train
SYN-228,SYN-228,English,English,A staff laptop containing institutional files was lost during travel Reported by user27@example.test on 08030000027.,A staff laptop containing institutional files was lost during travel Reported by user27@example.test on 08030000027.,Offline submission,Lost or stolen device,Lost or stolen device,Medium,Management,Management,,Email; Nigerian telephone number,CL-05-05,A staff laptop containing institutional files was lost during travel Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-247,SYN-247,English,English,My official phone was stolen and it still has access to email,My official phone was stolen and it still has access to email,PDF,Lost or stolen device,Lost or stolen device,Medium,Management,Management,,None,CL-05-09,My official phone was stolen and it still has access to email,Deterministic synthetic example; human validation required.,test
SYN-581,SYN-581,English,English,A researcher found an input validation weakness on payroll Reported by user30@example.test on 08030000030.,A researcher found an input validation weakness on payroll Reported by user30@example.test on 08030000030.,Screenshot,Vulnerability report,Vulnerability report,Medium,Vulnerability Management Team,Vulnerability Management Team,,Email; Nigerian telephone number,CL-12-06,A researcher found an input validation weakness on payroll Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-167,SYN-167,Nigerian Pidgin,Nigerian Pidgin,Strange program dey run by itself and browser dey redirect,Strange program dey run by itself and browser dey redirect,Screenshot,Malware,Malware,High,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-04-03,Strange program dey run by itself and browser dey redirect,Deterministic synthetic example; human validation required.,train
SYN-091,SYN-091,Nigerian Pidgin,Nigerian Pidgin,Dem change my password without me and now I no fit enter the account,Dem change my password without me and now I no fit enter the account,TXT,Account takeover,Account takeover,High,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-02-08,Dem change my password without me and now I no fit enter the account,Deterministic synthetic example; human validation required.,test
SYN-240,SYN-240,English,English,A staff laptop containing institutional files was lost during travel Reported by user39@example.test on 08030000039.,A staff laptop containing institutional files was lost during travel Reported by user39@example.test on 08030000039.,PDF,Lost or stolen device,Lost or stolen device,Medium,Management,Management,,Email; Nigerian telephone number,CL-05-07,A staff laptop containing institutional files was lost during travel Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-148,SYN-148,English,English,The department computer is locked and attackers demand cryptocurrency,The department computer is locked and attackers demand cryptocurrency,TXT,Ransomware,Ransomware,Critical,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-03-09,The department computer is locked and attackers demand cryptocurrency,Deterministic synthetic example; human validation required.,test
SYN-564,SYN-564,English,English,The test page reveals software version details at https://verify-13.example.test/login,The test page reveals software version details at https://verify-13.example.test/login,Offline submission,Vulnerability report,Vulnerability report,Medium,Vulnerability Management Team,Vulnerability Management Team,https://verify-13.example.test/login,None,CL-12-02,The test page reveals software version details at https://verify-13.example.test/login,Deterministic synthetic example; human validation required.,train
SYN-418,SYN-418,English,English,The finance transfer was redirected after a supplier email change,The finance transfer was redirected after a supplier email change,Image,Payment fraud,Payment fraud,High,Finance Fraud Response Team,Finance Fraud Response Team,,None,CL-09-03,The finance transfer was redirected after a supplier email change,Deterministic synthetic example; human validation required.,train
SYN-638,SYN-638,English,English,I need the help desk opening time; no security incident occurred,I need the help desk opening time; no security incident occurred,Screenshot,Benign or non-security enquiry,Benign or non-security enquiry,Low,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-13-07,I need the help desk opening time; no security incident occurred,Deterministic synthetic example; human validation required.,train
SYN-255,SYN-255,Nigerian Pidgin,Nigerian Pidgin,Printer no connect and help desk page no gree open,Printer no connect and help desk page no gree open,PDF,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-06-00,Printer no connect and help desk page no gree open,Deterministic synthetic example; human validation required.,train
SYN-238,SYN-238,English,English,My official phone was stolen and it still has access to email,My official phone was stolen and it still has access to email,Screenshot,Lost or stolen device,Lost or stolen device,Medium,Management,Management,,None,CL-05-07,My official phone was stolen and it still has access to email,Deterministic synthetic example; human validation required.,train
SYN-548,SYN-548,English,English,An employee used privileged access outside approved duties on email,An employee used privileged access outside approved duties on email,TXT,Insider threat,Insider threat,High,Senior Security and HR Review,Senior Security and HR Review,,None,CL-11-09,An employee used privileged access outside approved duties on email,Deterministic synthetic example; human validation required.,test
SYN-090,SYN-090,English,English,I received an OTP I did not request and my library shows a new login Reported by user39@example.test on 08030000039.,I received an OTP I did not request and my library shows a new login Reported by user39@example.test on 08030000039.,PDF,Account takeover,Account takeover,High,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-02-07,I received an OTP I did not request and my library shows a new login Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-177,SYN-177,English,English,The laptop reports a trojan and is sending traffic to 192.0.2.27,The laptop reports a trojan and is sending traffic to 192.0.2.27,TXT,Malware,Malware,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.27,None,CL-04-05,The laptop reports a trojan and is sending traffic to 192.0.2.27,Deterministic synthetic example; human validation required.,train
SYN-618,SYN-618,English,English,I need the help desk opening time; no security incident occurred,I need the help desk opening time; no security incident occurred,Image,Benign or non-security enquiry,Benign or non-security enquiry,Low,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-13-03,I need the help desk opening time; no security incident occurred,Deterministic synthetic example; human validation required.,train
SYN-157,SYN-157,English,English,Antivirus detected malware on the student portal after an unknown attachment opened Reported by user6@example.test on 08030000006.,Antivirus detected malware on the student portal after an unknown attachment opened Reported by user6@example.test on 08030000006.,Offline submission,Malware,Malware,High,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-04-01,Antivirus detected malware on the student portal after an unknown attachment opened Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-197,SYN-197,English,English,A suspicious program keeps running and redirects the browser,A suspicious program keeps running and redirects the browser,PDF,Malware,Malware,High,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-04-09,A suspicious program keeps running and redirects the browser,Deterministic synthetic example; human validation required.,test
SYN-041,SYN-041,Nigerian Pidgin,Nigerian Pidgin,This scholarship WhatsApp message dey ask us to login for strange website,This scholarship WhatsApp message dey ask us to login for strange website,TXT,Phishing,Phishing,High,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-01-08,This scholarship WhatsApp message dey ask us to login for strange website,Deterministic synthetic example; human validation required.,test
SYN-489,SYN-489,English,English,Heavy traffic from 192.0.2.39 made bursary unavailable,Heavy traffic from 192.0.2.39 made bursary unavailable,Image,Denial of service,Denial of service,Critical,Network Operations and Security Team,Network Operations and Security Team,192.0.2.39,None,CL-10-07,Heavy traffic from 192.0.2.39 made bursary unavailable,Deterministic synthetic example; human validation required.,train
SYN-213,SYN-213,Nigerian Pidgin,Nigerian Pidgin,Staff laptop wey get office file don loss for journey Reported by user12@example.test on 08030000012.,Staff laptop wey get office file don loss for journey Reported by user12@example.test on 08030000012.,TXT,Lost or stolen device,Lost or stolen device,Medium,Management,Management,,Email; Nigerian telephone number,CL-05-02,Staff laptop wey get office file don loss for journey Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-575,SYN-575,Nigerian Pidgin,Nigerian Pidgin,Researcher find input validation problem for library Reported by user24@example.test on 08030000024.,Researcher find input validation problem for library Reported by user24@example.test on 08030000024.,Image,Vulnerability report,Vulnerability report,Medium,Vulnerability Management Team,Vulnerability Management Team,,Email; Nigerian telephone number,CL-12-04,Researcher find input validation problem for library Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-218,SYN-218,English,English,The department cannot locate a portable drive used for student records,The department cannot locate a portable drive used for student records,Image,Lost or stolen device,Lost or stolen device,Medium,Management,Management,,None,CL-05-03,The department cannot locate a portable drive used for student records,Deterministic synthetic example; human validation required.,train
SYN-140,SYN-140,English,English,Files on the library are encrypted and a ransom note demands payment Reported by user39@example.test on 08030000039.,Files on the library are encrypted and a ransom note demands payment Reported by user39@example.test on 08030000039.,PDF,Ransomware,Ransomware,Critical,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-03-07,Files on the library are encrypted and a ransom note demands payment Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-662,SYN-662,English,English,The screen changed and I am not sure whether it is a security issue,The screen changed and I am not sure whether it is a security issue,PDF,Ambiguous report,Ambiguous report,Medium,Triage Review Team,Triage Review Team,,None,CL-14-02,The screen changed and I am not sure whether it is a security issue,Deterministic synthetic example; human validation required.,train
SYN-096,SYN-096,English,English,I received an OTP I did not request and my payroll shows a new login Reported by user45@example.test on 08030000045.,I received an OTP I did not request and my payroll shows a new login Reported by user45@example.test on 08030000045.,Image,Account takeover,Account takeover,High,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-02-09,I received an OTP I did not request and my payroll shows a new login Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,test
SYN-650,SYN-650,English,English,I need the help desk opening time; no security incident occurred,I need the help desk opening time; no security incident occurred,Web form,Benign or non-security enquiry,Benign or non-security enquiry,Low,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-13-09,I need the help desk opening time; no security incident occurred,Deterministic synthetic example; human validation required.,test
SYN-339,SYN-339,English,English,A public folder exposed student records from bursary,A public folder exposed student records from bursary,Image,Data exposure,Data exposure,High,Privacy and Data Protection Team,Privacy and Data Protection Team,,None,CL-07-07,A public folder exposed student records from bursary,Deterministic synthetic example; human validation required.,train
SYN-681,SYN-681,English,English,Something unusual happened on payroll but I have no other details Reported by user30@example.test on 08030000030.,Something unusual happened on payroll but I have no other details Reported by user30@example.test on 08030000030.,Screenshot,Ambiguous report,Ambiguous report,Medium,Triage Review Team,Triage Review Team,,Email; Nigerian telephone number,CL-14-06,Something unusual happened on payroll but I have no other details Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-071,SYN-071,Nigerian Pidgin,Nigerian Pidgin,Strange login show from 192.0.2.21 and OTP messages dey enter plenty,Strange login show from 192.0.2.21 and OTP messages dey enter plenty,Offline submission,Account takeover,Account takeover,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.21,None,CL-02-04,Strange login show from 192.0.2.21 and OTP messages dey enter plenty,Deterministic synthetic example; human validation required.,train
SYN-459,SYN-459,Nigerian Pidgin,Nigerian Pidgin,Plenty traffic from 192.0.2.9 make bursary no dey open,Plenty traffic from 192.0.2.9 make bursary no dey open,Email,Denial of service,Denial of service,Critical,Network Operations and Security Team,Network Operations and Security Team,192.0.2.9,None,CL-10-01,Plenty traffic from 192.0.2.9 make bursary no dey open,Deterministic synthetic example; human validation required.,train
SYN-692,SYN-692,English,English,The screen changed and I am not sure whether it is a security issue,The screen changed and I am not sure whether it is a security issue,Offline submission,Ambiguous report,Ambiguous report,Medium,Triage Review Team,Triage Review Team,,None,CL-14-08,The screen changed and I am not sure whether it is a security issue,Deterministic synthetic example; human validation required.,test
SYN-685,SYN-685,English,English,Something unusual happened on library but I have no other details,Something unusual happened on library but I have no other details,Offline submission,Ambiguous report,Ambiguous report,Medium,Triage Review Team,Triage Review Team,,None,CL-14-06,Something unusual happened on library but I have no other details,Deterministic synthetic example; human validation required.,train
SYN-403,SYN-403,English,English,A fake invoice changed the payment account for email,A fake invoice changed the payment account for email,Screenshot,Payment fraud,Payment fraud,High,Finance Fraud Response Team,Finance Fraud Response Team,,None,CL-09-00,A fake invoice changed the payment account for email,Deterministic synthetic example; human validation required.,train
SYN-112,SYN-112,English,English,The department computer is locked and attackers demand cryptocurrency,The department computer is locked and attackers demand cryptocurrency,PDF,Ransomware,Ransomware,Critical,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-03-02,The department computer is locked and attackers demand cryptocurrency,Deterministic synthetic example; human validation required.,train
SYN-272,SYN-272,English,English,The student portal portal is slow but there is no unusual login or password request Reported by user21@example.test on 08030000021.,The student portal portal is slow but there is no unusual login or password request Reported by user21@example.test on 08030000021.,Web form,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,Email; Nigerian telephone number,CL-06-04,The student portal portal is slow but there is no unusual login or password request Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
